INFO 2012-01-18 15:37:10,949 91482879432: Imported successfully as East Liberty Presbyterian Church Young Adults Group
INFO 2012-01-18 15:37:10,956 244537765564447: Imported successfully as PNC Park
INFO 2012-01-18 15:37:10,983 245038728870733: Imported successfully as The onala club
INFO 2012-01-18 15:37:10,991 157965117579095: Imported successfully as Brentwood Emergency Medical Service
INFO 2012-01-18 15:37:11,000 131681100224615: Imported successfully as Packs and Dogs
INFO 2012-01-18 15:37:11,009 114137681950447: Imported successfully as Winikoff Stanley Attorney At Law
INFO 2012-01-18 15:37:11,024 126059594135160: Imported successfully as UPMC Margolis Rheumatology
INFO 2012-01-18 15:37:11,032 148612675156925: Imported successfully as Sigma Alpha Epsilon Pennsylvania Phi
INFO 2012-01-18 15:37:11,040 262676364346: Imported successfully as EL OH! EL
INFO 2012-01-18 15:37:11,047 110107962387825: Imported successfully as Upper St Clair
INFO 2012-01-18 15:37:11,054 147599408653828: Imported successfully as Pittsburgh zoo
INFO 2012-01-18 15:37:11,060 328690830062: Imported successfully as Jimmy Wan's Restaurant & Lounge
INFO 2012-01-18 15:37:11,091 100493556677912: Imported successfully as Tienda La Jimenex
INFO 2012-01-18 15:37:11,099 135963609830092: Imported successfully as Terror Town
INFO 2012-01-18 15:37:11,105 104907179552404: Imported successfully as Vocelli Pizza
INFO 2012-01-18 15:37:11,112 115642488458218: Imported successfully as Cellone Bakery Inc
INFO 2012-01-18 15:37:11,139 120903937922354: Imported successfully as Crafton United Methodist Church
INFO 2012-01-18 15:37:11,146 120824514599442: Imported successfully as Quizno's Classic Subs
INFO 2012-01-18 15:37:11,161 140433432673068: Imported successfully as wheelhouse bar & grill at the Rivers Casino
INFO 2012-01-18 15:37:11,171 96494984074: Imported successfully as August Henry's City Saloon
INFO 2012-01-18 15:37:11,179 100859436625686: Imported successfully as Pittsburgh Fish & Chicken
INFO 2012-01-18 15:37:11,186 113908488641102: Imported successfully as Reserve Bar & Grill
INFO 2012-01-18 15:37:11,193 166497970057051: Imported successfully as Duquesne University Chapel
INFO 2012-01-18 15:37:11,223 113571105344293: Imported successfully as China Village
INFO 2012-01-18 15:37:11,231 122827324412158: Imported successfully as Community House Presbyterian Church and Learning Center
INFO 2012-01-18 15:37:11,238 105004672876287: Imported successfully as Michelle's Diner
INFO 2012-01-18 15:37:11,244 143454205723437: Imported successfully as Nakama
INFO 2012-01-18 15:37:11,253 111423888890437: Imported successfully as Hiram Grand Lodge Inc
INFO 2012-01-18 15:37:11,271 156369719178: Imported successfully as The Rex Theater
INFO 2012-01-18 15:37:11,277 115756725120585: Imported successfully as Hurwitz Dennis J MD PC
INFO 2012-01-18 15:37:11,286 151150094898496: Imported successfully as Our Lady of Fatima Chapel
INFO 2012-01-18 15:37:11,293 82448038638: Imported successfully as Mr. Smalls Recording and Mastering
INFO 2012-01-18 15:37:11,300 147461858608394: Imported successfully as Optima Quick Mart
INFO 2012-01-18 15:37:11,315 259762407371830: Imported successfully as The Gateway Clipper Fleet
INFO 2012-01-18 15:37:11,322 220557884627758: Imported successfully as Dave and Busters
INFO 2012-01-18 15:37:11,328 120881467924596: Imported successfully as Community House Presbyterian Church
INFO 2012-01-18 15:37:11,335 100851546625897: Imported successfully as Five Guys Famous Burgers & Fries
INFO 2012-01-18 15:37:11,342 120251721324647: Imported successfully as Burger King
INFO 2012-01-18 15:37:11,349 142187909140677: Imported successfully as Quicksigns
