INFO 2012-01-18 22:25:15,420 Importing events for Facebook page 96494984074
INFO 2012-01-18 22:25:15,420 Importing events for Facebook page 100859436625686
INFO 2012-01-18 22:25:15,420 Importing events for Facebook page 113908488641102
INFO 2012-01-18 22:25:15,420 Importing events for Facebook page 166497970057051
INFO 2012-01-18 22:25:15,420 Importing events for Facebook page 113571105344293
INFO 2012-01-18 22:25:15,420 Importing events for Facebook page 122827324412158
INFO 2012-01-18 22:25:15,420 Importing events for Facebook page 105004672876287
INFO 2012-01-18 22:25:15,420 Importing events for Facebook page 143454205723437
INFO 2012-01-18 22:25:15,420 Importing events for Facebook page 111423888890437
INFO 2012-01-18 22:25:15,420 Importing events for Facebook page 156369719178
INFO 2012-01-18 22:25:15,421 Importing events for Facebook page 115756725120585
INFO 2012-01-18 22:25:15,421 Importing events for Facebook page 151150094898496
INFO 2012-01-18 22:25:15,421 Importing events for Facebook page 82448038638
INFO 2012-01-18 22:25:15,421 Importing events for Facebook page 147461858608394
INFO 2012-01-18 22:25:15,421 Importing events for Facebook page 259762407371830
INFO 2012-01-18 22:25:15,421 Importing events for Facebook page 220557884627758
INFO 2012-01-18 22:25:15,421 Importing events for Facebook page 120881467924596
INFO 2012-01-18 22:25:15,421 Importing events for Facebook page 100851546625897
INFO 2012-01-18 22:25:15,421 Importing events for Facebook page 120251721324647
INFO 2012-01-18 22:25:15,422 Importing events for Facebook page 142187909140677
INFO 2012-01-18 22:25:15,422 Importing events for Facebook page 140769842630411
INFO 2012-01-18 22:25:15,422 Importing events for Facebook page 142712869109186
INFO 2012-01-18 22:25:15,422 Importing events for Facebook page 232665076758933
INFO 2012-01-18 22:25:15,422 Importing events for Facebook page 126421764084997
INFO 2012-01-18 22:25:15,422 Importing events for Facebook page 106769412725915
INFO 2012-01-18 22:25:15,422 Importing events for Facebook page 188973034447251
INFO 2012-01-18 22:25:15,422 Importing events for Facebook page 176848845732108
INFO 2012-01-18 22:25:15,422 Importing events for Facebook page 106192336105351
INFO 2012-01-18 22:25:15,422 Importing events for Facebook page 111729708864882
INFO 2012-01-18 22:25:15,423 Importing events for Facebook page 113386558694162
INFO 2012-01-18 22:25:15,423 Importing events for Facebook page 157252321010159
INFO 2012-01-18 22:25:15,423 Importing events for Facebook page 32767836552
INFO 2012-01-18 22:25:15,423 Importing events for Facebook page 108091512552068
INFO 2012-01-18 22:25:15,423 Importing events for Facebook page 141443982558835
INFO 2012-01-18 22:25:15,423 Importing events for Facebook page 126920407355386
INFO 2012-01-18 22:25:15,423 Importing events for Facebook page 155821287764249
INFO 2012-01-18 22:25:15,423 Importing events for Facebook page 153798894634245
INFO 2012-01-18 22:25:15,424 Importing events for Facebook page 134689816607883
INFO 2012-01-18 22:25:15,424 Importing events for Facebook page 175373772505575
INFO 2012-01-18 22:25:15,424 Importing events for Facebook page 167627446619362
INFO 2012-01-18 22:25:15,424 Importing events for Facebook page 167583323266870
INFO 2012-01-18 22:25:15,424 Importing events for Facebook page 302969886382349
INFO 2012-01-18 22:25:15,424 Importing events for Facebook page 129341020445709
INFO 2012-01-18 22:25:15,424 Importing events for Facebook page 109590789107790
INFO 2012-01-18 22:25:15,425 Importing events for Facebook page 145506675480077
INFO 2012-01-18 22:25:15,425 Importing events for Facebook page 165248408846
INFO 2012-01-18 22:25:15,425 Importing events for Facebook page 107236159336978
INFO 2012-01-18 22:25:15,425 Importing events for Facebook page 143937319011844
INFO 2012-01-18 22:25:15,425 Importing events for Facebook page 185354838163222
INFO 2012-01-18 22:25:15,425 Importing events for Facebook page 120155387996288
INFO 2012-01-18 22:25:15,425 Importing events for Facebook page 102695666474191
INFO 2012-01-18 22:25:15,425 Importing events for Facebook page 120551631294055
INFO 2012-01-18 22:25:15,425 Importing events for Facebook page 183282081711202
INFO 2012-01-18 22:25:15,425 Importing events for Facebook page 152830994729502
INFO 2012-01-18 22:25:15,426 Importing events for Facebook page 131898576870934
INFO 2012-01-18 22:25:15,426 Importing events for Facebook page 151724081508056
INFO 2012-01-18 22:25:15,426 Importing events for Facebook page 63335184024
INFO 2012-01-18 22:25:15,426 Importing events for Facebook page 102633283157051
INFO 2012-01-18 22:25:15,426 Importing events for Facebook page 120515757959867
INFO 2012-01-18 22:25:15,426 Importing events for Facebook page 248094078534826
